Player,GP,PPG,RPG,APG,SPG,BPG,FG%,3P%,TOPG,A/TO Ratio,PTS,REB,AST,STL,BLK,FLS,TO,FGM,FGA,"""3PM",3PA,FG%,3P%
a iLLEST,3,11.66666667,0.3333333333,1.333333333,1.666666667,0,77.77777778,66.66666667,0.3333333333,4,35,1,4,5,0,5,1,14,18,6,9,77.77777778,66.66666667
AIR DOMSKI,1,17,5,0,3,1,80,0,2,0,17,5,0,3,1,0,2,8,10,0,0,80,0
Alan165,1,24,3,7,2,0,84.61538462,33.33333333,2,3.5,24,3,7,2,0,2,2,11,13,1,3,84.61538462,33.33333333
BAVABLE HOF,3,10.33333333,0.6666666667,1,0,0,75,77.77777778,0,0,31,2,3,0,0,2,0,12,16,7,9,75,77.77777778
BIG PAPAA CJ,2,9,0.5,1,0.5,0,58.33333333,57.14285714,1,1,18,1,2,1,0,0,2,7,12,4,7,58.33333333,57.14285714
BILLY BUCKETS24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW x 330i,10,6.3,3.8,2.6,1.2,0.3,76.47058824,76.92307692,0.5,5.2,63,38,26,12,3,11,5,26,34,10,13,76.47058824,76.92307692
Bowtie,1,5,1,1,3,0,66.66666667,50,0,0,5,1,1,3,0,2,0,2,3,1,2,66.66666667,50
BROOKLYN ZOO,8,62.25,12.375,15.25,4.375,1.5,62.24188791,45.98540146,6.875,2.218181818,498,99,122,35,12,62,55,211,339,63,137,62.24188791,45.98540146
Brooklyn Zoo,1,68,10,16,7,1,61.36363636,52.17391304,9,1.777777778,68,10,16,7,1,8,9,27,44,12,23,61.36363636,52.17391304
BUFALLO BANDITS,6,66.66666667,19.66666667,20,9.666666667,2.5,55.29010239,46.51162791,6.333333333,3.157894737,400,118,120,58,15,47,38,162,293,60,129,55.29010239,46.51162791
BUFFALO BANDITS,1,58,20,17,5,2,56.41025641,45,12,1.416666667,58,20,17,5,2,14,12,22,39,9,20,56.41025641,45
Bully,6,4.333333333,6,1,1.333333333,1,52.17391304,22.22222222,0.3333333333,3,26,36,6,8,6,9,2,12,23,2,9,52.17391304,22.22222222
Cambinoo2,3,3.666666667,1,1.333333333,1,0,44.44444444,0,1.333333333,1,11,3,4,3,0,1,4,4,9,0,3,44.44444444,0
CascioNJ,4,20.75,1.5,2.25,2,1,56.36363636,66.66666667,1.25,1.8,83,6,9,8,4,12,5,31,55,20,30,56.36363636,66.66666667
CNICE757,3,19.33333333,6.666666667,4,0.6666666667,0.6666666667,71.42857143,50,1.666666667,2.4,58,20,12,2,2,7,5,25,35,4,8,71.42857143,50
CUBAN LINX,3,41.33333333,0,5.333333333,2.666666667,0.6666666667,55.55555556,36.84210526,3,1.777777778,124,0,16,8,2,5,9,25,45,7,19,55.55555556,36.84210526
CUBAN LYNX,4,66.75,9.5,14.25,8,1.75,64.19753086,53.03030303,4.75,3,267,38,57,32,7,25,19,104,162,35,66,64.19753086,53.03030303
Dalieo,2,33.5,2,8,2.5,0,58.97435897,56.52173913,3,2.666666667,67,4,16,5,0,5,6,23,39,13,23,58.97435897,56.52173913
Deafized,1,7,5,0,0,0,60,50,0,0,7,5,0,0,0,0,0,3,5,1,2,60,50
DJ EJ FRANCHISE,7,8.428571429,3.857142857,1.428571429,1.714285714,1.571428571,72.72727273,46.66666667,1.142857143,1.25,59,27,10,12,11,18,8,24,33,7,15,72.72727273,46.66666667
DOZENCAVE470398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DozenCave470398,2,7,2,2,0.5,0.5,62.5,100,1,2,14,4,4,1,1,1,2,5,8,3,3,62.5,100
Drift LiftEm,2,14.5,10,4,2,1.5,76.47058824,50,1,4,29,20,8,4,3,1,2,13,17,1,2,76.47058824,50
DURAGRiCK YT,9,8,2.777777778,2.666666667,1.555555556,0.6666666667,56.52173913,50,0.7777777778,3.428571429,72,25,24,14,6,30,7,26,46,15,30,56.52173913,50
